Designator,Mid X,Mid Y,Layer,Rotation
C1,20.00, 9.40,Top,0.0
C2, 6.00, 9.40,Top,90.0
C3, 2.90,17.50,Top,225.0
C4, 4.60,27.80,Top,135.0
C5,22.70,12.20,Top,270.0
C6,11.90,32.60,Top,45.0
C7, 4.80,15.40,Top,225.0
C8, 7.10,13.20,Top,225.0
C9,16.60,12.70,Top,270.0
C10,18.10,29.60,Top,135.0
C11,14.10,10.80,Top,180.0
IC1,12.00,22.00,Top,315.0
IC2,12.00, 7.00,Top,270.0
M1,12.00, 0.00,Top,0.0
R1, 4.90, 9.40,Top,90.0
R2,19.20,15.50,Top,135.0
R3, 3.80, 9.40,Top,270.0
R4, 5.80, 5.10,Top,180.0
R5,17.40, 6.40,Top,0.0
R6,17.40, 7.90,Top,180.0
R7, 5.80, 6.40,Top,0.0
R8,21.70, 7.30,Top,270.0
STATUS,21.00, 5.10,Top,0.0
X1,12.00,51.27,Top,180.0
X2,12.00,60.00,Top,0.0
Y1,20.00,12.00,Top,0.0
