Comment,Designator,Footprint,LCSC
LTST-C191KRKT,"LED1,LED2",LED0603-RD,C125099
TLC-PSMD010,F1,F0805,C261939
DB126V-5_0-6P-GN,U3,CONN-TH_DB126V-5.0-6P-GN,C2682301
NASB0-S6701-TS50,CN1,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,C367024
DRV8825PWPR,U1,HTSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP,C81582
0.01 uF,C6,C_0603_1608Metric,
NM,R17,R_0603_1608Metric,
NM,R14,R_0603_1608Metric,
0.2R,R5,R_0603_1608Metric,
~,U2,NGFF_M,
10k,R7,R_0603_1608Metric,
1M,R3,R_0603_1608Metric,
470R,R1,R_0603_1608Metric,
100 uF,C5,CP_Elec_6.3x5.4_Nichicon,
470R,R2,R_0603_1608Metric,
0.1 uF,C3,C_0603_1608Metric,
NM,R18,R_0603_1608Metric,
0.2R,R4,R_0603_1608Metric,
NM,R13,R_0603_1608Metric,
NM,R23,R_0603_1608Metric,
NM,R10,R_0603_1608Metric,
0.1 uF,C1,C_0603_1608Metric,
10k,R11,R_0603_1608Metric,
0.1 uF,C2,C_0603_1608Metric,
NM,R9,R_0603_1608Metric,
MountingHole,H1,MountingHole_3.2mm_M3_Pad_TopBottom,
3k6,R8,R_0603_1608Metric,
NM,R19,R_0603_1608Metric,
0.47 uF,C7,C_0603_1608Metric,
47k,R6,R_0603_1608Metric,
NM,R16,R_0603_1608Metric,
10k,R12,R_0603_1608Metric,
