Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1 uF,C_0603_1608Metric,106.4,-103.16,90.0,top
C2,0.1 uF,C_0603_1608Metric,102.8,-103.16,90.0,top
C3,0.1 uF,C_0603_1608Metric,106.3,-110.36,-90.0,top
C5,100 uF,CP_Elec_6.3x5.4_Nichicon,101.2,-113.56,-90.0,top
C6,0.01 uF,C_0603_1608Metric,108.6,-100.56,0.0,top
C7,0.47 uF,C_0603_1608Metric,116.4,-111.86,-90.0,top
CN1,NASB0-S6701-TS50,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,108.6999,-80.285073,180.0,top
F1,TLC-PSMD010,F0805,115.6,-86.86,180.0,top
LED1,LTST-C191KRKT,LED0603-RD,118.199568,-89.340372,180.0,top
LED2,LTST-C191KRKT,LED0603-RD,118.199568,-93.140372,180.0,top
R1,470R,R_0603_1608Metric,119.05,-86.835,-90.0,top
R2,470R,R_0603_1608Metric,114.8,-89.36,0.0,top
R3,1M,R_0603_1608Metric,104.6,-103.16,-90.0,top
R4,0.2R,R_0603_1608Metric,103.9,-105.7,0.0,top
R5,0.2R,R_0603_1608Metric,103.925,-107.9,0.0,top
R6,47k,R_0603_1608Metric,110.3,-113.86,-90.0,top
R7,10k,R_0603_1608Metric,116.5,-102.46,90.0,top
R8,3k6,R_0603_1608Metric,108.6,-113.86,-90.0,top
R9,NM,R_0603_1608Metric,102.8875,-97.76,-90.0,top
R10,NM,R_0603_1608Metric,107.1,-97.76,-90.0,top
R11,10k,R_0603_1608Metric,117.2,-105.26,0.0,top
R12,10k,R_0603_1608Metric,117.8,-108.8,0.0,top
R13,NM,R_0603_1608Metric,114.7,-97.76,-90.0,top
R14,NM,R_0603_1608Metric,116.6,-97.76,90.0,top
R16,NM,R_0603_1608Metric,109.0,-97.76,90.0,top
R17,NM,R_0603_1608Metric,100.9875,-97.76,90.0,top
R18,NM,R_0603_1608Metric,105.0,-97.86,90.0,top
R19,NM,R_0603_1608Metric,110.9,-97.76,90.0,top
R23,NM,R_0603_1608Metric,112.8,-97.76,90.0,top
U1,DRV8825PWPR,HTSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP,111.5,-106.786714,-90.0,top
U2,~,NGFF_M,108.7,-73.4475,180.0,top
U3,DB126V-5_0-6P-GN,CONN-TH_DB126V-5.0-6P-GN,108.670053,-139.729984,0.0,top
